sequence,label
Ouff c'est fermé a clé adage,positive
Oui j'ai perdue mon pseudo,negative
Zoheir la prairie,neutral
jsui tro vener italie ces gros pocs ont joué kom des bites et ils gagnent aux tirs au but : aucune justice,negative
😂😂😂😂😂😂,positive
Une petite séance de tirs aux buts,neutral
Ça va fati merci,positive
New-man lol 😂,positive
et mes parents furent,neutral
hhhhh,positive
bonsoir chuchoteur :),positive
ماني نشوف والو,negative
"Tramontane, faut arrêter les GJ la plupart sont des chômeur ou au RSA t'sais ",negative
Bonsoir je cherche une femme pour discuter,neutral
"Lia (Chaat@E457468D.8D024006.4C4C32AA.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 57 minutes (Bon retour sur www.chaat.fr).",negative
Oui Racho,positive
re m'dame chipie,positive
Bien le bonjour ma douce ladyice,positive
!cafe,neutral
Candice t'es où,neutral
bonsoir les arrivantes,positive
😂 دعونا نذكر الله,positive
!seen canari,neutral
je veux une belle ronde dame,positive
oui pour me changer les idees pipoune,positive
Moi aussi,positive
Sympa,neutral
oui j'en sors,positive
tu vas bien Barbapapa :),positive
oui stop le flood,negative
C'est plus facile de me voir en vieux débris.,negative
merci gentilmec c gentil,positive
راسي وجعني,neutral
bah oui killbill ;),neutral
"avec y avait un ptit cote chic, bah maintenant...",negative
Lil Peep,neutral
!seen nass,neutral
il drague les mineures,negative
hhhhhh,positive
"Crepuscule, ^^ joue sur la subtilité (: ta raison ^^ mais tu devais pas retourné à tes occupations?",negative
Unknown: bonsoir mrc how are you ,positive
"Le_Seigneur_Des_Tombes on peut le prendre comme ça oui, le froid fait dépenser plus de calories",neutral
الله اكبر,neutral
"Rire ma killbill, à ta guise!",positive
Re ou bonjour tt le monde,positive
Bsr sympa,positive
bonsoir chipie,positive
Salut P0ussiere2lune|TaFF,positive
Dans,neutral
Stay happy,positive
https://youtu.be/rltuo4S5cs0,neutral
speedd  rak tqil,neutral
par contre,neutral
!plouf Belkacem|dz,neutral
Maintenant je sors l'on truck et je pisse sur vous tous !,negative
v https://youtu.be/kTqwy6ay1HQ,neutral
!kb wahach @insultes,neutral
j ai dit que l italie allait gagner l euro,neutral
Adage -_+,neutral
Imen habiti la3ziza twahachtek xD,neutral
Ça falloir aller se coucher,negative
bsr chipie bisous,positive
!calin DialoguerSimplement,positive
!kiss killbill,positive
disons que comme j'ai rien à dire autant ne pas se relire lol,negative
Ok mdrr,positive
Salamon pourquoi tu es choqué ?,neutral
bonsoir,positive
https://fr.wikipedia.org/wiki/Klaus_Barbie,neutral
pomponette,neutral
Elolo ca FAI un temps pas vue,negative
vs etes énormes ici sur les fautes,negative
speedd coucou bien et toi,positive
Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,neutral
!calin LadyIce,positive
je sais,positive
plus le droit d'enfermer ce genre de bête,negative
Bonsoir,positive
le mien est générique aussi nanasse,neutral
speedd: Ana l'plus et vitaa1 l'moins !! lol,negative
Poussière  en effet,neutral
"hakunamatata moi j'adore surtout le clip et les fringues, et la chanson évidemment !",positive
Speedd moha mouh musique,neutral
Belkacem|dz balance un seau d'eau froide sur Inno. Ca va te calmer je pense ;) ,negative
moi aussi,positive
hello,positive
Y a des gens sur Toulouse ?,neutral
alors allez les Danois :),neutral
YouTube Status Quo - Whatever You Want par petrovborisg (durée: 5:14) - Vue(s): 22314679,neutral
Pour certains,neutral
Bon réveil kyble22,positive
Kbyle222 bsr bisous,positive
التعايش مع الكفار,negative
Je trouve 5 réponses à votre demande (dans l'ordre): wahach canari ahawka hamzup monstre. wahach (Chaat@AB6C1630.85584DB6.203F4F87.IP) a été vu pour la dernière fois quitter #Accueil il y a seulement 34 secondes (Bon retour sur www.chaat.fr).,neutral
Sérieux,neutral
Kipsi:  ah et bonsoir,positive
celles du chasseurs français sont bien meilleures,negative
samedii: samdi wali dima arwah ok yak tu vien tou les jour mach samdi brk,neutral
Oui xD,positive
Fait vraiment chaud el youm,negative
hhhhhhhhhhhhhh,positive
faut que je vote aussi,neutral
Moscoo mdr,positive
!voice vitaa1,neutral
nous aussi Shannon,positive
nchlh aya b1,neutral
"Pact (Chaat@4CC0932F.D1E1A7E0.9CE0AFA1.IP) a été vu pour la dernière fois quitter #Accueil il y a 3 heures, 12 minutes (Bon retour sur www.chaat.fr).",neutral
Adage moi. Moche hahahah,negative
et puis Hannibal LEcter n'ets pas pote avec Looping et Barracuda,negative
Amen,neutral
"bakii, Tu voulais pécho la brune hein :D ",positive
Imagine tu toque  dans la maison des gens puis ta pas d'affinités  mdr,negative
Salut Linda,positive
ca vous dis une devinette?,neutral
hhhhhhhhhhhhh,positive
Seigneur chauve reste avec tes 1200/mois et passe ton chemin ..,negative
oui mais en en étant militaire ma copine y etait,neutral
et j'ai fait deux burnt out,negative
dans un? ,neutral
et j'aurais 2sem dans une chambre d'hospital tout frais payer,negative
 Bonsoir  Le_Seigneur_Des_Tombes,positive
Unknown lol 3lh receveur moch khdma mliha,negative
baloo|fb: ouii que ça 😂😂😂😂,positive
Sihem cc,neutral
:p ma killbill,positive
"Et bé, Mamya vachement redoublé",negative
Ok tramontane lol,neutral
Slt mamy,positive
perlea: lol cetait une blague  lol,positive
la nuit va etre longue jusqu'a demain matin,negative
le fourrage!!!,negative
on espère speedd,positive
nailaa tblokiti,neutral
GCDS: Elle a compris ta blague pas marrante je crois..,positive
Comment tu peu enfermer des bêtes je conprend  pas,negative
Bonjour Tramontane :),positive
Re chipie bisous 😊,positive
Mchimcha: bnsf,positive
Ah nanars Di non,negative
🥵🥵🥵🥵,negative
encore ?,negative
Shannon en pH,neutral
personne ne parle ?,negative
!deop,neutral
:-)),positive
Kat:  fatiguant oui,negative
bsrs alon,positive
bonsoir pupuce et BonPapa,positive
"TiteSeve: Parfait alors ,reste comme ca et ne change rien :",positive
Merci pour votre écoute :),positive
😂😂😂😂😂😂😂😂😂,positive
!Seen Kader31,neutral
corona halkatna,neutral
loken jiti chaba  majich l site,neutral
hannibal-smith76|venere Bah alors? :p,neutral
ça donn envie de twerk sale,positive
Anya porte bonheur comment vas tu ?,positive
Bonsoir Insomnie.,positive
BONSOIR,positive
Dsa25:  mauvais salon pour ça,negative
Un mec de elancourt ?,neutral
bsr bisousss Reglisse__,positive
eh ben...,neutral
Arabica:  vodooo,neutral
masi ca vga,positive
طريق الحق باين 😮,neutral
Tu retiens que ca de lui LeRebelle ?,neutral
Merci chuchoteur killbill,positive
oune prenez aps les pseudos  des autres,negative
YouTube Chris Rodrigues and Abby the Spoon Lady Take on Classic Blues par Dimitri Lotovski (durée: 3:58) - Vue(s): 1644460,neutral
Merci PetitPierre|Happy-Days|On-AiR,positive
samedii: و العصافير تزقزق,neutral
Vladcarstein: elle lui a pas ramené des gosses aussi?,negative
Oh un LuTiN_MaLiN,positive
"HamsterJovial, yO ",positive
Je trouve 42 réponses à votre demande. Voici les 5 plus récentes (dans l'ordre): _eric59 Furygan51 Batman1 Yaya Asg. _eric59 (Chaat@E40A29EC.882513CE.1762A978.IP) a été vu pour la dernière fois quitter #Accueil il y a 1 minute (Bon retour sur www.chaat.fr).,positive
ki yelhag vendredi kol w regod w tzawaj hhh,neutral
hhhhhhhhhhhh,positive
ah apres le match MvsConeX,neutral
ههههههههههه,neutral
vitaa1: répondu aala rajel mtbhdelich bina,negative
"Candice : oui, mais le français me fait rager, c'était indépendant de ma volonté :(",negative
Ennour:  ca ne va pas aujourd'hui désolée,negative
Arabica fait un énorme Kiiiiisss à eurasienne,positive
Mamy: miley cirus ell est un peu nuageuse ?,neutral
il faudra que ce soit toi qui pleures mdrrr,negative
Mdrrrrr,positive
moi jaim vendredi ,negative
perlea:,neutral
!kiss Arabica,positive
!coca,neutral
le foot c pr le peuple qui s ennuie c tout,negative
hhhhhhhhhhh,positive
😂😂😂😂,positive
Adage tu peux aller changé ton pseudo stp,neutral
mdr tu avais quel age et elle du coup,neutral
!kiss Ennour,positive
Candice:  c'est le seul truc qui me rend un peu beau o:,positive
!seen isam,neutral
De troller soundcloud.,negative
le foot c'est vraiment trop nul,negative
je leur répond c'est moi wsh,neutral
tiens un terre hermes,neutral
looping|222 le seigneur,positive
X means j ? Salamo ?,neutral 
moi je ne le savais pas lol,negative
wahed hder maa wahda   sebato tayhatlo  lol   qatlo wach rak hessebni  ???   qalha f debut hssebtek mra   mais ki tayahti   loll bedelt rayi,negative
Ça compte pas !!!!,negative
bonsoir H-Lamberty,positive
cv bien kimahaka,positive
De covid,negative
Pauline:  bonsoir,positive
Salut Hamster,positive
Tu t'appelles,neutral
"Chouchou3953, Hey coucou poto ",positive
bsr Layabricote|Layabricot Nezha23 et marie_,positive
lolll baloo 😁😁😁,positive
bisoussss chipie,positive
speedd: baloo|fb 😂😂😂😂😂😂,neutral
Tu es juste un peu décalée mamy lol,negative
Personne ta sonné desesperence,negative
😂😂😂😂 speedd nta trouh l Timimoun,neutral
Pupuce tu veut pas quand s apel,neutral
Unknown: oui lh ystor,neutral
😏 chhal tes9ammena Unknown ?,neutral
quel gage ? hannibal-smith76|venere,neutral
Allez zou boulot demain,positive
Ça va Manel93,positive
Je suis bien d accord,positive
Lamberty je peux te donner un autre exemple un ami a moi à chopper le sida car sa compagne a été jouer sa salooe avec un autre et a jamais rien dit,negative
"Mamy: Si Allah te voyais, je suis pas certain qu'il serait content. :D",negative
🙄 chhal 3andi fel compte speedd ??,neutral
ouii chipie,positive
moscoo:  raby yedwmeha,neutral
Guest43051:  demande à ton voisin de cybercafé,neutral
nssadrou  les crevettes fesahra hada machrou3 mlih nedarssouh lol,neutral
Argelino1 si je pense te l avoir dit,positive
😂😂😂😂,positive
MDRRR VOILA Manell93,positive
"Tess_: Ouai ,c'est aussi parce j'aime beaucoup toute les histoires de meurtre ,pédophile etc...",negative
Guest59061 bjr,positive
oui je dois l'admettre,neutral
po la moi,negative
o ki yaklo yetgar3o a33333333,neutral
un royaliste quoi ,negative
CV sublime,positive
Coucou Desesperance,positive
"Arabica (uid505084@Rose.du.Desert) a été vu pour la dernière fois quitter #Passions il y a 16 heures, 2 minutes (Bon retour sur www.chaat.fr).",neutral
C'est toi minoucha  hahahah Adage hahahah,positive
Lolo,neutral
Trop dur .. titeseve,negative
tweli tachtah tous les samedi loukane tekelhoum samedii,neutral
نيو مان انت راس الكفر اسكت علينا,neutral
je suis le bosse de l'agence tout risque mdr,neutral
lassqat fia hed kelma,neutral
cela dit oui il me plaisait pas plus que ça,negative
"H-Lamberty, nope j'attaque à 14h à 22h",neutral
Je découvre ceton espace,positive
allez les italiens,positive
rani hanya hmdl et toi kAyzO,positive
😂😂😂😂 Adage,positive
Arabica: cv,positive
Bonsoir,positive
mécanique ou éléctrique Sephi ?,neutral
Coin coin lulu,negative
oui tres chaud,neutral
Ok et tu bosse dans quoi,neutral
Donne moi 30 j en ai vraiment besoin,negative
Anya: allez san retour a wled khelf a timimoun hata njiw njibok hhhh,neutral
rare son ceux qui on un emploie fixe chez les GJ ,negative
sinon comment allez vous moibrn ses sabrineet je suis a la recherche d'une relation sérieuse et amoureuse,positive
Dodo,neutral
pilgrim75:  bonjour,positive
Coucou ;),positive
!seen imaane,neutral
idebhouni,neutral
c'est pas pris en charge ?,negative
koul  kelb,neutral
Bonsoir à toutes et à tous,positive
Vladcarstein: on dit pour le meilleur et le pire mdr,neutral
!calin DialoguerSimplement,neutral
Gros bibi ma tite kristina :),positive
ki twali f nod fjer a 4h c bon,neutral
!seen sososen,neutral
3yit,neutral
non on s'y fait très vite surtout si on n'a rien à faire !,negative
Oui suis nouvelle,positive
Hello,positive
femme de Gatineau ici ?,neutral
"je demandais Candice, car je ne comprenais pas lol",negative
pfffff,negative
bsr Sev2845,positive
!kiss nasia ,positive
Je conprend pas pk ta des moqueries,neutral
mdrrrrrrrrrrrrr,positive
C mignon,positive
Grizzly- pourquoi tu dis ça,neutral
Hhhh déluge,positive
Comme si je vis en france eurasienne|vivaitalia,neutral
new-man fait un énorme Kiiiiisss à sagesse68,positive
!embrasse ChoupetteNoPV,neutral
Pk on est conpliquee,neutral
NiceBosss: j ai sentis ton parfum lol,positive
vitaa1: Ani ma3 el match ella t'dji tferdji m3ata ?!! lol,positive
ma poulette,positive
!Seen baillon,neutral
Ou le gros chômeur desco en jupe?,negative
Bah faut bien ><,neutral
de rien Little_Ch33ky :),positive
https://www.youtube.com/watch?v=bObmyZvc7vI,neutral
!plouf baloo ,neutral
bonjour kbyle222,positive
kol wahed yed3i roho  lol,neutral
mdrr TiteSeve j allais dire merci de quoi,negative
Puis après économies à fond > projet personnel hors études > Forseti = heureuse ! Desesperance,neutral
Ah ok racho,positive
bouhhh,negative
Mdr loane,positive
Owi *-* mais j'en ai plus chez moi :(,negative
hhhhhhhhhhhhhh,positive
hin quelle copine troll,negative
Speedd rouya labass hmdl,positive
leurs femmes prennent soin de leurs blessures,neutral
Ayah|OnAir: trop de charge au boulot,negative
Guest32725:  pourkoi cette question,neutral
. https://www.youtube.com/watch?v=kTTwGqeNdlE,neutral
Bonsoir reglisse__,positive
Arabica:  hh oui,positive
coucou ChoupetteNoPV bisoussss,positive
Oui bah les grizzlys aussi hein :D,positive
"Bou (Chaat@4DBED753.EC38F727.8820554E.IP) a été vu pour la dernière fois quitter #Ados il y a 1 heure, 28 minutes (Bon retour sur www.chaat.fr).",neutral
merci,positive
Salut,positive
Non quand même pas,negative
bonsoir a tous bisousssssssssssss,positive
bonsoir à tout le monde,positive
Guest28492 😂😂,positive
je te le dis hein !,neutral
TiteSeve fouette vigoureusement Terre-Hermes. T'aime ça coquin(e) hein ===~~~~~~,negative
nein speedd,neutral
"LeRebelle: Et moi je fantasmais sur ma prof d'anglais quand j'étais en Master, on a tout des trucs dans la vie...",negative
Salamo dait allah yarhamha,neutral
"Bah oué Terre-Hermess, encore",neutral
les vitamine D c'est mon medecin,positive
Labrune ça fais 3 fois que tu annonce ton départ mais que tu reste c est que le tchat te convient,neutral
Mdrrrrrrr,positive
Hhhhhh m3ndkom mtsalo,neutral
a plus passe lui le bjr Ennour  bisous,positive
Comment allez vous ?,positive
Génial ! Michel59 part en cuisine pour préparer du _C_] _a_] _f_] _é_],positive
pas encore Babycrew,negative
sa peu aller merci,positive
Imen:  20 hebitini nmout lilette l3erss,neutral
salut ici,positive
cool TiteSeve,positive
Hhhhhh,neutral
جاك داعش,positive
les vaccins c'est mon medecin,neutral
Plop,neutral
bonsoir Linda,positive
"Comme on dit, l'hôpital qui se fout de la charité",negative
hhhhhhhh,positive
Plus personne,negative
hakunamatata:  je crains le pire,negative
bonjour mardi,positive
Le mariage n a rien d autre que des avantages administratifs et la symbolique du mariage ne veux plus rien dire,negative
Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,neutral
Coucou Pour.,positive
Pas faux on est tous des moches,negative
"Forseti: Ah et j'oubliais, la drogue, les reptiliens de Signus B, et le professeur Tsukalossssssss.",negative
Okk tramontane,neutral
Chacal: اهلا بك,neutral 
qui aime picoler ici?,neutral
nasia: Arabica hhhh,positive
adage m3a wjouh kifkom madanitach,neutral
Bonsoir,positive
Labrune repond stp,neutral
red-hall harkis franca kawt eurasienne,neutral
fallait pas jouer avec le liquide vaissele pour faire de la mousse P0ussiere2lune,negative
tu es la sève de la jeunesse Tite,positive
je confirme,positive
Oui très cher PetitPierre|Happy-Days|On-AiR ils avaient tuer beaucoup de touristes,negative
si je vais aller mêttre mon gigot au four,neutral
Ok merci,positive
 new-man prend DialoguerSimplement dans ses bras et lui fait un énorme calin ❤❤❤,positive
"new-man:  bisous, bonjour",positive
Galouli beli dans ton porte monnaie kayni ghir les tickets de bus,neutral
ca Imen,neutral
"donc Barbie avant d'etre une poupée était un des nazis les plus celebre, pas pour rien que barbie était blonde ;)",negative
Myrtille regarde tes PV,neutral
!k redDol  va  prendre une douche froide,negative
speedd:  elle peux deviner ou je ss,neutral
andi anti  - ball vitaa1,positive
Imen wech Dana lel selef.,neutral
b jrnée tt le monde,positive
Bonsoir,positive
Vladcarstein,neutral
bueno4: les guerriers meurt souvent jeune,negative
coucou Sephiroth bisous :),positive
ah ouais ta vu Tramontane on va subir l'inflation la hausse des prix ,negative
Salut ❤️🌃,positive
عندك او جاك,neutral
OkitooSd: win ya sah,neutral
vitaa1 hada wesh ya3jbek? Tu me déçois,negative
Manell93  BISES,positive
kAyzo va en pv,neutral
الله اكبر,neutral
ils sont solide les italiens,positive
"nasia:  je vais tres bien merci , hamdoulah",positive
Quelle ville/village hannibal-smith76|venere? (10 ans à Rouen pour ma part),neutral
hhhhhh,positive
YouTube Echo Sessions 31 - Asheville Busking Legends - Fly By Night Rounders - Whole Set par Iam AVL (durée: 52:49) - Vue(s): 539493,neutral
Salamo hachak bech nmadlek ma photo,neutral
Yep Caramelo,positive
Hello,positive
ani nedhak alik nta,neutral
Jai pas de sœur faust pourquoi t est méchant je ne tai jamais dis rien de méchant,negative
Nanasse y'en a plein oui mais la non plus c'est pas interdit..,negative
UNKnown kader31 est au salon acceuil,neutral
Dacool Salam,positive
OkitooSd rani mrid chwiya,negative
ههههههههه,neutral
hghhhhhhhhhhhhhhhhhh,positive
Coucou kayzO,positive
!voice bueno4,neutral
C'est quoi ça un lion ou un chien mdrr Adage,neutral 
c deja ca,positive
Bonsoir excusez moi,positive
"Mais qu'est ce que tu fais là killbill, envole toi vers des cieux prometteurs.",neutral
 Bonsoir  jasmine,positive
lol speedd,positive
hhhhhhhhh,positive
!calin new-man,positive
bonsoir ici!!,positive
Nailaa ça arrive,positive
speedd: Non moi j'brille comme une bougie un soir d'une nouvelle lune lol,neutral
Les anglais gagneront l euro,neutral
New-man curiosité des femmes,negative
Bonjour  daline,positive
😏 j ai vu speedd lol ....uhum on sort déjeuner tu viens avec nous Guest32725 c est speedd qui paie avec l argent de Unknown mdrr,positive
Angeles canet collègue,neutral
ننام ونحن بخير,positive
Quoi de neuf docteur,neutral
C est plus rapide,positive
mdrrr,positive
Loana il fait étrangement frais,negative
Le chef c'est new-man pas moi,negative
Non pour le Booom boom eurasienne|vivaitalia,negative
"Ayah|OnAir:  kach k hab DJadj arab ? ? ici ou dans  le  salon maroc ,?",positive
fabuleux j'ai posé une pêche et chui craccra,positive
Crepuscule c'est vrai que mon pseudo est l'objet de beaucoup de fantasmes,negative
mais ça avance,positive
holaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,positive
Lool,positive
cc Barbie,positive
On a tous un grain en fait…,negative
bonsoir Farida,positive
et toi perlea comment ca se passe avc la chaleur,neutral
o qbel l aid,neutral
J'ai perditio mon  pseudonymes,neutral
!kiss eurasienne ,neutral
!pelle choups1,neutral
mazal  omra,neutral
new-man: lol ,positive
Ouiii DeLuGe,positive
Sympa3:  mais non on plaisante,positive
"Terre-Hermess, tu dors?",neutral
c'est hyper cher une chambre,negative
Italie en finale,neutral
Comment fait on pour envoyer 1 photo en pièce jointe j aimerai distribuer mon majeur,neutral
[ Membre VIP ]  chipie est un(e) habitué(e) du salon #Accueil !,neutral
ok frr,neutral
fais chier,negative
ne cherchez pas mdrrr,negative
indila *-* ,positive
ont a compris Marocaine ils n'y en a pas point,negative
Hello,positive
"Tramontane, c'est juste bcp moin cher par la bas ",neutral
je viens de faire face à une attaque de moustiques assassins,negative
pour gagner il faut que l italie gagne l euro,neutral
Bah je trouve pas de pseudo nanasse,neutral
pas tjs,neutral
"elinea, Pour dire quoi de plus ? ",negative
ya trop de femmes qui parlent .,negative
tsebe rajal anti ya tehane?choiufe mertek ya rkhisse o inale dine waldik new-man ya tehane nektha ou nzide nikha ca te va?,neutral
hakunamatata:  bonne nuit à toi aussi,positive
ça va tranquillement comme un jour orageux et vous ? ^^,positive
perlea: oui je voi ca c maleureu,negative
Aya Tarabhouuu NatLaKouuu mour el match NRoubLouuuHaa Chez eurasienne|vivaitalia,neutral
ah ah hannibal-smith76|venere,negative
salut babycrew comment tu vas depuis le temps,positive
et elle sait pas lire un pseudo,negative
Ch'tite,positive
Comment te dire adieu,negative
La pauvre :(,negative
!kiss eurasienne|vivaitalia,positive
bjr nànàce,positive
Belkacem|Abs:  ABS w yedhak lol,neutral
Tu fais bien !,positive
Bonjour Vanillee,positive
J'ai besoin de sexe,neutral
Pas trop je suis déçu de le voir tjr Envie,negative
"MrNice, ça va khou?",positive
Elolo: Te noie pas..,positive
coucou,positive
DeLuGE1 : MDRRRRR,positive
bonjour à tousse,positive
speedd:  bouhhh nendeb hnaaaki réponditlou Sympa3 bark houwa 3ma,negative
Qui est riche ici présent ?,neutral
bisousss speedd,positive
"J'passais juste faire un coucou, et un bisou a ma choups1.... Strop nul par tel 😒",positive
Chouchou3953:  Bonjour,positive
impéccable ça brooke :p ,positive
bonjourtoutlemonde,positive
ouiiiiiiiiii MvsConeX :p,positive
et ils vont passer à la casserole,negative
li ibougi tfiqlo,neutral
vitaa1:,neutral
Grrrrr PetitPierre|Happy-Days|On-AiR,negative
stylé le combat quand même entre Achille et Hector ,positive
redDol:  oui je suis d'accord avec ché guevara,positive
Davros sache que je ne partage pas tes fantasmes douteux au sujet de cet homme... Douteux,negative
bon bah tir au but hannibal-smith76|venere,negative
re re chipie,positive
كول الطماطم,neutral
babycrew tu es la preuve évidente d'un manque de gout esthétique,negative
Baztou33_grr:  bonsoir,positive
"Bsr forseti , alors tu as eu tes résultats ?",neutral
si tu tchat ici et tu ne le dis pas=tromper,negative
perlea: ça va?,positive
"il voulait me voir, je lui ai dit non",negative
الله يهدينا,neutral
LadyIce:  bonjour,positive
mdrr hannibal-smith76|venere,negative
عيد الاضحى قريب,neutral
donc c'est encore une fois,neutral
Tout ce qui compte c'est d'avoir l'esprit créatif.,positive
I wlh sincèrement tu dis n'importe quoi ayhouh pas. Ce point +samedii,negative
zawjouni b mra aaqla c tt,neutral
Il me fai peur dsa25,negative
"Cynthia Ann Stephanie Lauper (née le 22 juin 1953)1, dite Cyndi, est une chanteuse, compositrice, actrice et activiste américaine  ;)",neutral
Salamon: viens au pv,neutral
Salut,positive
c'est quoi ce délire?,negative
grelo ando chlaghem,neutral
nasia ma koltilich bessah ana nkollek bonjour nonne après midi bonne soirée et bonne nuit,positive
Bisoussssssssssssssssss chipie,positive
https://youtu.be/q5_ySD7gUIs,neutral
Hhhhhhh,neutral
Cc nasia,positive
مضطرة للدهاب,neutral
j'ai horreur de la vulgarité,negative
les couples meytine bla routine Imen  gatlou chouf la 9mar  glha  ya mossiba hada wine cheftih avant kane igoulha chbeb kima ainik,neutral
mouahhhhhhhhhhhhhhh new-man,positive
merci Inno,positive
LeRebelle pas vraiment je me suis assoupie accidentellement... Je lisais puis...,negative
ya adage knux ya3ch9 fik mais il es timides miskin,negative
si quelqu'un ressemble a magnum hummm,neutral
pipoune: je ne cède jamais au chantage!mdrr,negative
C était surtout une manœuvre d'esquive enissay lol,negative
merci,positive
ChoupetteNoPV:  tu ma manke,positive
ça chauffe hannibal-smith76|venere mdrrr,negative
diablotin ben oui... Et je supporte pas de rester éveillé la nuit en plus,negative
هههههههههههه,neutral
C méchant ca lol,negative
"Koharu moi il me donne l'impression d'être la protagoniste d'un film fantastique, féerique...",positive
Babycrew: hmdlh,positive
réserves pardon,neutral
DialoguerSimplement fait un énorme Kiiiiisss à anya,positive
hophop: tu as du retard,negative
Il va fondre,negative
Aussi,neutral
ibat maa pc,neutral
!bjr,positive
YouTube Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video) par Maroon5VEVO (durée: 4:40) - Vue(s): 681411279,neutral
pour qui tout ce bon odeur,positive
"Tramontane, Bah rien que la révolution numérique (x ",neutral
what the fuck,negative
parler de filles et garçons en rue= religion?,neutral
Exportation de viande de chat et de chien,negative
je suis pas né hier,negative
mais aie P0ussiere2lune|TaFF  pourquoi une telle violence envers ma personne ?,negative
wouais,positive
" ℹ️ [ INFO Chaat.fr ] ℹ️ : Ici c'est un lieu gratuit [̲̅€̲̅(̲̅0̲̅)̲̅€̲̅] de discussion, de rencontres amicales 웃 유, pour passer un moment convivial et chaleureux ( ^◡^)(^◡^ )! Alors soyez poli, tolérant et respectueux. Merci et Bon Tchat ❗ ٩(●̮̃•)۶",neutral
Bonjour à tous et toutes,positive
Mais si....,positive
Baloo je suis plus Sage,neutral
Non allez bonne nuit tt le monde,positive
Insignifiante désespérance,negative
Chaouki fait un énorme Kiiiiisss à Candice,positive
جيب الراقي,neutral
je suis le seul à avoir des déconnexions ?,neutral
Mdrr Racho,positive
Bonsoir,positive
Unknown قلب,neutral
correction,neutral
Adage combien 42 https://photos.app.goo.gl/vUUYgXFEsmMiNynb6. Hahahah,neutral
Adage a tout a changé quand j'étais rencontrer,neutral
grenade grenade,negative
pour kel raison darbou    vitaa1,neutral
hhhhh,positive
Le_Seigneur_Des_Tomb clairement jvais inviter ma pote on va faire des sons toute la nuit sans dormir,positive
c'est quoi çà encore,negative
bsr Damien33 :),positive
italiaaaaaaaaaaaaa,positive
Le_Seigneur_Des_Tomb j'ai postulé pour un truc de disquaire et j'savais pas quoi mettre dans la lettre de motiv du coup j'ai dit jsuis musicien jfais de la musique et tout j'ai peur qu'on me demande awé montre et jmontre ça,negative
hhhh,positive
"diablotin: le seul animal envers qui j'ai une phobie,  je fais très attention chaque soir de bien fermé le store avant d'allumer la lumière",negative
de meme pipoune,positive
le seul sport d équipe sympa c le base ball,positive
kima magdartouch habine tashrouna b jnoune ta3 al3arafate ti3kom,neutral
comparer à la douceur et gentillesse des plus jeunes..,positive
re Petch,positive
tant de gens pensent etre des lumieres alors qu'ils ne sont que de sinterrupteurs,negative
"Koharu Je suis pas une séductrice pour rien, c'est Candice qui l'a dit",negative
tramontane tu remarquera qu'on s'en fou un peu,negative
je te promets que ton gage sera super cool et oui c'est meme un gage juste un petit truc lol,positive
Toto bjr,positive
merci hakunamatata,positive
bonsoir,positive
oui ma TiteSeve,positive
"diablotin offre une bonne tasse de _C_] _a_] _f_] _é_] toute chaude à salon >> Un peu de lait, du sucre ? ",neutral
Je vous laisse passer une bonne soirée puis une bonne nuit,positive
on ligne multijoueur,neutral 
نعم السرعة أعطي هذا الانطباع أنا أغش مع المترجم لكن لا تخبر أحدا,neutral
ya des gens en prison ici?,negative
T en as déjà vu lors de tes balades montagnardes tramontane ?,neutral
!danse Homelander,neutral
le rebelle ah oui qui?,neutral
speedd: l'inverse tu veux dire mdrr,positive
Ben moi je trouve ça loooong !!!,negative
Salam,positive
diablotin pour expliquer le pourquoi du comment... Mais au début moi même je comprenais pas,negative
toto: matkesserch rassek je c gèrer اني لها لقوى امين,positive
du lendemain,neutral
Non pipoune !,negative
il a fini par la trover la femme de sa vie,positive
new-man fait un énorme Kiiiiisss à killbill,positive
100%  mrad,positive
J'ai pas besoin mdrrr tqt je fait ce que je veut encore ^,positive
kAyzO:  c'est un tout petit bled perdu dans la brousse lol,negative
Ayah ❤️,positive
inconnue1:  slm,positive
!café,positive 
وقليلي الادب,positive
W yalahso sowa,neutral
Baloo t es la?,neutral
sayma ala zwaj c tt,neutral
"sur tel, faut se mettre en version pour ordinateur",neutral
et en vin un bon saint emillion,neutral
Bsr sublime,positive
je crois que c'est ce que vivent les gilets jaunes,negative
gigi18: ciao,positive
"nanasse, ah bah ça ",neutral
!seen arabica,neutral
"Tramontane, bah écoute jette ton pc et ton tel x: puis on te vera plus xD ",negative
Salam moscoo,positive
"Crepuscule, mtn si tu veux tergiverser je suis là mais sinon ça sert à rien ^^ on à nos deux avis different c'est tout et on campera sur nos position ",negative
chipie:   cc bises,positive
merci du balai,negative
Imen ya benti diri hada tu va rien faire avec,negative
Massss: ???,neutral
!radio,neutral
khkhkhkhkh,positive
Mouahhhhh ma choupette,positive
non d'une Tramontane,negative
Reste pipoune,positive
bonne nuit hannibal-smith76|venere tu as pas l'air content ce soir,negative
